Cue,Collection_S12,Collection_S15,Collection_S21,Collection_S22,Collection_S23,Collection_S30,Collection_S34,Collection_S57,Collection_S64,Collection_S65,Collection_S67,Collection_S7,Count_S12,Count_S15,Count_S21,Count_S22,Count_S23,Count_S30,Count_S34,Count_S57,Count_S64,Count_S65,Count_S67,Count_S7
baudrier,"""harnet"", ""escalade"", ""grimper"", ""saut"", ""hauter"", ""danger"", ""sport""",,"""grimper"", ""grimper"", ""securité""",,,"""escalader"", ""protection"", ""grimper"", ""cirque"", ""stunt""",,"""escalade"", ""moniteur, descalade"", ""arbre"", ""accrobranche"", ""sport"", ""nature"", ""dehor""","""escalade"", ""protection"", ""chute"", ""parachute"", ""grimper"", ""prise""","""enfant"", ""bebe"", ""dos"", ""promenade""",,"""enfant"", ""jeu"", ""escalier"", ""escalade"", ""randonnée""",7,0,3,0,0,5,0,7,6,4,0,5
bouclier,,,"""armure"", ""épée"", ""marteau"", ""moyen, age""",,,"""guerre"", ""moyen, age"", ""épée"", ""protection"", ""violence""","""guerre"", ""protection"", ""bois"", ""moyen, age""","""proteger"", ""guerre"", ""épée"", ""se, battre"", ""proteger"", ""sabre""","""protection"", ""épée"", ""dragon"", ""prince"", ""princesse"", ""bataille"", ""meurtre""","""armure"", ""épée"", ""moyen, age"", ""chevalier"", ""combat"", ""protection""",,"""epaule"", ""bataille"", ""guerre""",0,0,4,0,0,5,4,6,7,6,0,3
boulier,"""math"", ""enfance"", ""jeu"", ""equation"", ""addition"", ""finance""",,"""matematiqu"", ""grec"", ""antique"", ""vieux"", ""conter, à, le, main""",,,"""calculer"", ""chine"", ""math"", ""boule"", ""statistique""",,"""un, bille"", ""calculer"", ""math"", ""couleur"", ""dire"", ""classer"", ""faire, un, calcule""",,,,"""conter"", ""enfant"", ""jeu"", ""chiffre""",6,0,5,0,0,5,0,7,0,0,0,4
calamar,"""mer"", ""pulpe"", ""medue"", ""poisson"", ""nouritture"", ""citron"", ""alghe"", ""soleil""","""mer"", ""poisson"", ""corail"", ""vie, marine""","""ocean"", ""profond"", ""nocturne"", ""geer"", ""tentacule""",,,"""frire"", ""mediteranne"", ""ocean"", ""grand"", ""petit"", ""rose"", ""brun""","""ocean"", ""tentacule"", ""manger""","""manger"", ""salade"", ""nager"", ""poisson"", ""ocean"", ""mer"", ""sel""",,"""crevette"", ""fruit, de, mer"", ""nouritture"", ""eau, saler"", ""ocean""","""delicieux"", ""gris"", ""soupe"", ""pomme, de, terre"", ""mer""","""fruit, de, mer"", ""manger"", ""odeur, de, mer"", ""salé"", ""poisson"", ""ocean""",8,4,5,0,0,7,3,7,0,5,5,6
cameleon,"""changer, de, couleur"", ""reponse, le, film"", ""animal"", ""foret"", ""couleur""","""couleur"", ""nature"", ""foret"", ""arbre"", ""feuille"", ""mouche"", ""insect"", ""langue""","""animal"", ""camouflage"", ""lézard"", ""insectivor""","""animal"", ""camouflage"", ""couleur"", ""arbre""","""animal"", ""couleur"", ""camouflage"", ""sauvage"", ""amical""","""changer"", ""camoufler"", ""langue"", ""insect"", ""couleur"", ""bois""","""collard"", ""trident"", ""changement"", ""langue""","""changer, de, couleur"", ""couleur"", ""sadapter"", ""arbre"", ""environment"", ""animal""","""couleur"", ""changement"", ""adaptation"", ""foret""","""couleur"", ""langue"", ""camouflage"", ""protection"", ""oeil"", ""colorer"", ""beau""","""changer, de, couleur"", ""tropical"", ""tre, rare"", ""etrang""","""amazonie"", ""savanne"", ""chaud"", ""changer, le, couleur""",5,8,4,4,5,6,4,6,4,7,4,4
carillon,,,,,"""musique"", ""instrument"", ""orchestre"", ""chanson"", ""artiste"", ""performance""","""musique"", ""baton"", ""tapper""",,"""musique"", ""fëte"", ""melodie"", ""danser"", ""note""",,"""instrument, musiqu"", ""bruit"", ""melodieux""",,"""musique"", ""jouer"", ""concert"", ""conservatoire"", ""teatre""",0,0,0,0,6,3,0,5,0,3,0,5
catapulte,"""medieval"", ""chevalier"", ""château"", ""fortresse"", ""arme"", ""mort"", ""guerre"", ""soldat""","""vieux, epoque"", ""torture"", ""chateau""","""roman"", ""siege"", ""pierre"", ""maladie"", ""strategie"", ""destruction"", ""attaque"", ""non, defensiv""","""lancer"", ""bois""","""guerre"", ""siege"", ""attaque"", ""fortress""","""cannon"", ""moyen, age"", ""guerre"", ""antiquité"", ""violence"", ""tirer""","""guerre"", ""bois"", ""force"", ""rapide""","""guerre"", ""moyen, age"", ""bois"", ""feu"", ""incendie"", ""bruler"", ""etandre"", ""eau""","""protection"", ""bois"", ""bombe"", ""attaque"", ""chateau"", ""roman"", ""greque""","""moyen, age"", ""combat"", ""defense"", ""technique"", ""decouverte"", ""innovation"", ""combat"", ""strategie""",,"""pierre"", ""fortress"", ""muraill"", ""geter"", ""guerre""",8,3,8,2,4,6,4,8,7,8,0,5
celeri,,,,,,,,"""salade"", ""mager"", ""sauce"", ""legume"", ""vert"", ""planter"", ""plantation""",,,"""tre, bon, pour, le, santé"", ""soupe"", ""quiche"", ""degoutant""",,0,0,0,0,0,0,0,7,0,0,4,0
chalumeau,"""marshmellow"", ""cuisine"", ""chauffer"", ""le, feu"", ""bruler""",,,,,"""feu"", ""cuire"", ""chaleur"", ""manger""","""feu"", ""chaud"", ""dangereux"", ""ga""","""chimie"", ""camping"", ""allumer"", ""feu"", ""se, rechauffer"", ""allumette"", ""briquet"", ""fumer""","""flame"", ""allumette"", ""briquet"", ""cigarette"", ""rouler"", ""tabac""",,,"""feu"", ""bois"", ""odeur"", ""chaminet""",5,0,0,0,0,4,4,8,6,0,0,4
charniere,"""porte"", ""moment, charniere"", ""serrure"", ""poignée, de, porte"", ""bois""",,"""usine"", ""porte"", ""mechanism"", ""cuir""",,,,,,,,,"""porte"", ""ouvrir"", ""vis"", ""accrocher""",5,0,4,0,0,0,0,0,0,0,0,4
chat,"""canapé"", ""animal"", ""chien"", ""compagnie"", ""griffe"", ""blessure""","""lit"", ""poil"", ""amour"", ""calin"", ""nouritture"", ""litière""","""poil"", ""animal"", ""felin"", ""mammifere""","""petit"", ""mignon"", ""animal"", ""gentil""","""jouer"", ""animal"", ""felin"", ""mignon""","""felin"", ""mammifere"", ""chien"", ""fourrure"", ""poil""",,"""chaton"", ""beau"", ""mignon"", ""adorable""","""chien"", ""animal"", ""domestique"", ""maison"", ""meuble""","""animal"", ""felin"", ""mignon""","""instr""","""nourriture"", ""chien"", ""mettre""",6,6,4,4,4,5,0,4,5,3,1,3
chaussette,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
chevalet,"""canva"", ""le, peinture"", ""artiste"", ""artiste"", ""acriliqu"", ""pincal""",,,,,"""peindre"", ""reinassance"", ""leonardo, da, vinci"", ""toile"", ""blanc"", ""art"", ""artiste""","""peinture"", ""couleur"", ""paysage""","""dessiner"", ""peindre"", ""peinture"", ""histoire, de, lart"", ""observer"", ""musee"", ""peinture"", ""pincal""","""toile"", ""peinture"", ""art"", ""brosee"", ""van, gogh""","""peinture"", ""huil"", ""tableau"", ""fresque"", ""art"", ""picasso"", ""modern""","""dessiner"", ""acril"", ""paysage"", ""portrer"", ""artiste""","""dessin"", ""artiste"", ""peintre"", ""toile"", ""pincal""",6,0,0,0,0,7,3,8,5,7,5,5
cintre,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
clarinette,"""musique"", ""musique, classique"", ""concert"", ""spectacle, doper""",,"""instrument"", ""vent"", ""milieu"", ""orchestre"", ""nasal""",,"""musique"", ""orchestre"", ""artiste"", ""chanson""","""musique"", ""instrument"", ""bruit"", ""vent"", ""saxophone"", ""trompette"", ""charleston""",,"""musique"", ""piano"", ""danser"", ""note, de, musique"", ""solfege"", ""prof, de, piano""","""flute"", ""souffler"", ""musique"", ""note"", ""accord""",,,"""musique"", ""orchestre"", ""applaudir"", ""chanter""",4,0,5,0,4,7,0,6,5,0,0,4
colibri,"""le, vacance"", ""fleure"", ""sucre"", ""nectar"", ""aile"", ""rapidité"", ""vol""","""oiseau"", ""fleur"", ""ibiscus"", ""couleur"", ""silence"", ""joli"", ""mignon""","""vitesse"", ""oiseau"", ""vert"", ""rapide"", ""petit""","""oiseau"", ""rapide"", ""petit"", ""fleur""","""oiseau"", ""petit"", ""couleur"", ""pollen"", ""fleur""","""hirondelle"", ""oiseau"", ""voler"", ""rapide"", ""long"", ""haut"", ""hydratation""","""couleur"", ""voyage"", ""bec"", ""chant""","""voler"", ""couleur"", ""oiseau"", ""ver, de, terre"", ""bec"", ""aile"", ""patte""","""couleur"", ""voler"", ""petit"", ""oiseau""","""oiseau"", ""bruit"", ""chant"", ""printemps"", ""soleil"", ""arbre"", ""feuille"", ""nid""","""tre, petit"", ""colorer"", ""tropical"", ""jamais, voir""","""vitesse"", ""voler"", ""fleur"", ""nectare"", ""minuscule""",7,7,5,4,5,7,4,7,4,8,4,5
compas,"""devoir"", ""rond"", ""ecole, primaire"", ""feuille"", ""maitresse"", ""prof"", ""pupitre""","""math"", ""cercle"", ""angle"", ""calculer"", ""exercise"", ""ecole"", ""cour"", ""professeur"", ""stylo""",,"""math"", ""dessiner"", ""cercle""","""matematiqu"", ""ecole"", ""travail"", ""calculer"", ""physique""","""math"", ""geometrie"", ""platon"", ""statistique""","""precision"", ""rond"", ""ecole"", ""matematiqu"", ""enfance""","""tracer"", ""math"", ""cercle"", ""calculer"", ""angle"", ""circonference""","""equerre"", ""feuille"", ""geometrie"", ""aritmetiqu"", ""espace""",,,"""matematiqu"", ""geographie"", ""ecole"", ""marrant, marin"", ""bateau"", ""capitain""",7,9,0,3,5,4,5,6,5,0,0,6
cor,"""chasse"", ""trompette"", ""chien"", ""fusil""","""medicine""","""instrument"", ""orchestre"", ""mélodie"", ""sonnette""",,,"""musique"", ""instrument"", ""flûte"", ""à, vent"", ""saxophone"", ""guitare""","""bruit"", ""musique"", ""pays, de, nord""","""trompette"", ""musique"", ""orchestre"", ""grand, théâtre"", ""champagne"", ""musique""","""saxophone"", ""flûte"", ""clarinette"", ""musique"", ""instrument"", ""accord"", ""jazz""",,,,4,1,4,0,0,6,3,6,7,0,0,0
corail,"""mer"", ""pollution"", ""snorkeling"", ""mort"", ""poisson"", ""méduse"", ""algue"", ""soleil"", ""vacance""","""mer"", ""poisson"", ""vie, marine"", ""chauffement, climatique""","""multicellulaire"", ""vivant"", ""réchauffement""","""eau"", ""couleur""","""sou, marin"", ""aquatique"", ""végétal"", ""inanimé""","""poisson"", ""némo"", ""couleur"", ""mer"", ""océan"", ""plonger"", ""nager"", ""casser""","""océan"", ""australie"", ""danger"", ""fragile""","""fond, marin"", ""poisson"", ""exotique"", ""pêche"", ""natation"", ""plongée"", ""costume, de, plongée""","""corail"", ""fruit, de, mer"", ""mer"", ""océan"", ""requin"", ""plancton""","""ocean"", ""pollution"", ""beau"", ""muraill"", ""sirène"", ""etoile, de, mer""","""mer"", ""diving"", ""joli"", ""différent, couleur""","""mer"", ""beauté"", ""poisson"", ""vie""",9,4,3,2,4,8,4,7,6,6,4,4
cornemuse,"""écosser"", ""jupe"", ""quadrillage"", ""musique"", ""note, de, musique"", ""homme""","""musique"", ""écosser"", ""tradition""","""instrument, à, vent"", ""compliqué"", ""écosser"", ""folklorique"", ""spécial""",,,"""musique"", ""à, vent"", ""écosser"", ""irland"", ""jupe""","""musique"", ""écosser"", ""entraîner""","""musique"", ""dance"", ""instrument, national"", ""amusement"", ""fête""","""instrument"", ""turquie"", ""mer, noir"", ""culture""",,,"""juillet"", ""musique"", ""rituel"", ""tribu""",6,3,5,0,0,5,3,5,4,0,0,4
cymbale,"""musique"", ""rock"", ""batterie"", ""salle, de, musique"", ""note, de, musique""",,"""musique"", ""instrument"", ""tambour"", ""concert"", ""orchestre"", ""percussion""",,,"""musique"", ""batterie"", ""baguette"", ""charleston"", ""snare"", ""kick""","""musique"", ""bruit"", ""orchestre""","""musique"", ""batterie"", ""bâton"", ""rythme"", ""danser"", ""concert"", ""groupe""","""batteur"", ""drum"", ""whiplash""",,,"""musique"", ""orchestre"", ""concert"", ""conservatoire"", ""juillet"", ""ensemble""",5,0,6,0,0,6,3,7,3,0,0,6
decapsuleur,"""soirée"", ""bière"", ""alcool"", ""verre"", ""bar""","""bière"", ""vin"", ""soirée"", ""ambiance"", ""amusement"", ""boisson"", ""bourré"", ""coma""","""boisson"", ""alcool"", ""bière"", ""capsule""",,,"""ouvrir"", ""bière"", ""bouchon"", ""pointu"", ""rond"", ""trou""","""bière"", ""vin"", ""boisson"", ""force""","""boire"", ""bière"", ""fête"", ""samuser"", ""danser"", ""chanter"", ""boîte, de, nuit"", ""boire"", ""ivre""","""canette"", ""métallique"", ""aluminium"", ""bouchon"", ""capsule""","""bouteille"", ""bière"", ""verre"", ""alcool"", ""boisson""",,"""chirurgien"", ""opération"", ""hôpital"", ""médecin""",5,8,4,0,0,6,4,9,5,5,0,4
dindon,"""ferme"", ""bas, cour"", ""forêt"", ""bruit"", ""animal"", ""oiseau"", ""aile""","""oiseau"", ""nourriture"", ""bruit"", ""campagne""","""oiseau"", ""grand"", ""agressif"", ""noir""","""oiseau"", ""manger"", ""sandwich""",,"""thanksgiving"", ""amérique"", ""rôtir"", ""poulet""","""fête"", ""manger"", ""pas, beau"", ""plume"", ""crête""","""dinde"", ""sandwich"", ""four"", ""manger"", ""cuisiner"", ""assaisonner""",,"""noël"", ""géant"", ""repas"", ""oiseau"", ""paon"", ""grand""",,"""fermier"", ""poulet"", ""volaill"", ""rouge""",7,4,4,3,0,4,5,6,0,6,0,4
echenilloir,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
enclume,,,"""métal"", ""forger"", ""feu"", ""marteau"", ""forgeron""",,,,"""lourd"", ""fer"", ""noir"", ""moyen, âge""",,"""pois"", ""porter"", ""construction""","""pierre"", ""statue"", ""roche"", ""historique""",,"""fer"", ""appuyer""",0,0,5,0,0,0,4,0,3,4,0,2
entonnoir,,,,,,,,"""liquide"", ""couler"", ""chimie"", ""précision""","""conteneur"", ""filtrage"", ""tamisage"", ""trier""",,,,0,0,0,0,0,0,0,4,4,0,0,0
eolienn,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
epouvantail,"""corbeau"", ""champ"", ""blé"", ""amérique"", ""fermier"", ""tracteur""",,"""champ"", ""grain"", ""blé"", ""corbeau"", ""corvid"", ""peur"", ""horreur""",,,"""ferme"", ""countryside"", ""corbeau""","""champ"", ""peur""","""peur"", ""amusant"", ""habit"", ""foint"", ""champ""","""oiseau"", ""herbe"", ""haye"", ""champ"", ""tête"", ""mannequin""","""halloween"", ""effrayant"", ""octobre"", ""paille"", ""champ"", ""peur""","""halloween"", ""effrayant"", ""movie, roron""","""chasser, le, oiseau"", ""protéger, le, récolte"", ""halloween""",6,0,7,0,0,3,2,5,6,6,3,3
espadon,"""poisson"", ""épée"", ""mer"", ""algue"", ""étoile, de, mer"", ""soleil"", ""océan"", ""vacance""","""poisson"", ""mer"", ""eau"", ""micro, organisme"", ""vie, marine""","""poisson"", ""pêche"", ""fort"", ""rapide"", ""musculaire"", ""rare"", ""difficile""","""poisson"", ""nager"", ""eau""",,"""poisson"", ""thon"", ""baleine"", ""mère"", ""eau"", ""océan"", ""manger"", ""long""","""eau"", ""peche"", ""grand""","""poisson"", ""nager"", ""eau"", ""aquarium"", ""mer"", ""océan"", ""bateau"", ""poisson""","""poisson"", ""épée"", ""dragon"", ""prince"", ""princesse"", ""mario"", ""roi""","""poisson"", ""océan"", ""lac"", ""mer"", ""eau, doux""","""mer"", ""gris"", ""dangereal"", ""très, joli"", ""bateau""","""poisson"", ""mer"", ""chasser"", ""protection""",8,5,7,3,0,8,3,8,7,5,5,4
etrier,"""cheval"", ""équitation"", ""ferme"", ""enclore"", ""pâturage""",,"""cheval"", ""équitation"", ""contrôle"", ""virage""",,,,"""cheval"", ""vitesse"", ""monter""","""équitation"", ""cheval"", ""galop"", ""écurie"", ""bumb"", ""equipment, de, équitation""",,"""cheval"", ""sabot"", ""équitation"", ""animal"", ""ferme""",,"""chevalier"", ""cheval"", ""contest""",5,0,4,0,0,0,3,6,0,5,0,3
