Cue,Subject,Count,Collection
['asperge'],S30,6,"[""['legume']"", ""['puer']"", ""['pipier']"", ""['long']"", ""['mayonnaise']"", ""['bon']""]"
['asperge'],S34,2,"[""['vert']"", ""['sauce']""]"
['asperge'],S57,5,"[""['asaisoner']"", ""['manger']"", ""['avec', 'un', 'sauce']"", ""['vapeur']"", ""['vitamine']""]"
['asperge'],S64,0,[]
['asperge'],S65,3,"[""['salade']"", ""['bon']"", ""['santé']""]"
['asperge'],S67,3,"[""['verdure']"", ""['vert']"", ""['vapeur']""]"
['autruche'],S7,2,"[""['nid']"", ""['courir']""]"
['autruche'],S12,7,"[""['sable']"", ""['aile']"", ""['plume']"", ""['le', 'œuf']"", ""['grand']"", ""['courire', 'course']"", ""['vite']""]"
['autruche'],S15,4,"[""['animal']"", ""['jardin', 'botanique']"", ""['sauvage']"", ""['de', 'oeuf']""]"
['autruche'],S21,4,"[""['oiseau']"", ""['aggressif']"", ""['plume']"", ""['rapide']""]"
['autruche'],S22,0,[]
['autruche'],S23,3,"[""['afrique']"", ""['sauvage']"", ""['zoo', 'park']""]"
['autruche'],S30,3,"[""['rapide']"", ""['grand']"", ""['un', 'oeuf']""]"
['autruche'],S34,3,"[""['plume']"", ""['dangereux']"", ""['vite']""]"
['autruche'],S57,3,"[""['tête']"", ""['cacher']"", ""['courir']""]"
['autruche'],S64,5,"[""['oiseau']"", ""['ail']"", ""['ciel']"", ""['nuage']"", ""['montagne']""]"
['autruche'],S65,5,"[""['tête']"", ""['cou']"", ""['animal']"", ""['terre']"", ""['protection']""]"
['autruche'],S67,2,"[""['pouvoir', 'juste', 'courir']"", ""['tre', 'vite']""]"
['auvent'],S7,4,"[""['proteger', 'lentree']"", ""['porte', 'dentre']"", ""['vent']"", ""['soleil']""]"
['auvent'],S12,0,[]
['auvent'],S15,0,[]
['auvent'],S21,0,[]
['auvent'],S22,0,[]
['auvent'],S23,0,[]
['auvent'],S30,0,[]
['auvent'],S34,0,[]
['auvent'],S57,4,"[""['hotel']"", ""['pluie']"", ""['cache']"", ""['restaurer']""]"
['auvent'],S64,4,"[""['parapluie']"", ""['soleil']"", ""['jupiter']"", ""['mars']""]"
['auvent'],S65,2,"[""['protection']"", ""['soleil']""]"
['auvent'],S67,0,[]
['banjo'],S7,3,"[""['musique']"", ""['chanteur']"", ""['fête']""]"
['banjo'],S12,0,[]
['banjo'],S15,0,[]
['banjo'],S21,4,"[""['instrument']"", ""['musique']"", ""['etat', 'uni']"", ""['lousiane']""]"
['banjo'],S22,0,[]
['banjo'],S23,0,[]
['banjo'],S30,5,"[""['instrument']"", ""['guitar']"", ""['violon']"", ""['accorder']"", ""['acoustique']""]"
['banjo'],S34,0,[]
['banjo'],S57,0,[]
['banjo'],S64,0,[]
['banjo'],S65,4,"[""['instrument', 'musiqu']"", ""['son']"", ""['vibration']"", ""['guitar']""]"
['banjo'],S67,0,[]
['baudrier'],S7,5,"[""['enfant']"", ""['jeu']"", ""['escalier']"", ""['escalade']"", ""['randonnée']""]"
['baudrier'],S12,7,"[""['harnet']"", ""['escalade']"", ""['grimper']"", ""['saut']"", ""['hauter']"", ""['danger']"", ""['sport']""]"
['baudrier'],S15,0,[]
['baudrier'],S21,3,"[""['grimper']"", ""['grimper']"", ""['securité']""]"
['baudrier'],S22,0,[]
['baudrier'],S23,0,[]
['baudrier'],S30,5,"[""['escalader']"", ""['protection']"", ""['grimper']"", ""['cirque']"", ""['stunt']""]"
['baudrier'],S34,0,[]
['baudrier'],S57,7,"[""['escalade']"", ""['moniteur', 'descalade']"", ""['arbre']"", ""['accrobranche']"", ""['sport']"", ""['nature']"", ""['dehor']""]"
['baudrier'],S64,6,"[""['escalade']"", ""['protection']"", ""['chute']"", ""['parachute']"", ""['grimper']"", ""['prise']""]"
['baudrier'],S65,4,"[""['enfant']"", ""['bebe']"", ""['dos']"", ""['promenade']""]"
['baudrier'],S67,0,[]
['bouclier'],S7,3,"[""['epaule']"", ""['bataille']"", ""['guerre']""]"
['bouclier'],S12,0,[]
['bouclier'],S15,0,[]
['bouclier'],S21,4,"[""['armure']"", ""['épée']"", ""['marteau']"", ""['moyen', 'age']""]"
['bouclier'],S22,0,[]
['bouclier'],S23,0,[]
['bouclier'],S30,5,"[""['guerre']"", ""['moyen', 'age']"", ""['épée']"", ""['protection']"", ""['violence']""]"
['bouclier'],S34,4,"[""['guerre']"", ""['protection']"", ""['bois']"", ""['moyen', 'age']""]"
['bouclier'],S57,6,"[""['proteger']"", ""['guerre']"", ""['épée']"", ""['se', 'battre']"", ""['proteger']"", ""['sabre']""]"
['bouclier'],S64,7,"[""['protection']"", ""['épée']"", ""['dragon']"", ""['prince']"", ""['princesse']"", ""['bataille']"", ""['meurtre']""]"
['bouclier'],S65,6,"[""['armure']"", ""['épée']"", ""['moyen', 'age']"", ""['chevalier']"", ""['combat']"", ""['protection']""]"
['bouclier'],S67,0,[]
['boulier'],S7,4,"[""['conter']"", ""['enfant']"", ""['jeu']"", ""['chiffre']""]"
['boulier'],S12,6,"[""['math']"", ""['enfance']"", ""['jeu']"", ""['equation']"", ""['addition']"", ""['finance']""]"
['boulier'],S15,0,[]
['boulier'],S21,5,"[""['matematiqu']"", ""['grec']"", ""['antique']"", ""['vieux']"", ""['conter', 'à', 'le', 'main']""]"
['boulier'],S22,0,[]
['boulier'],S23,0,[]
['boulier'],S30,5,"[""['calculer']"", ""['chine']"", ""['math']"", ""['boule']"", ""['statistique']""]"
['boulier'],S34,0,[]
['boulier'],S57,7,"[""['un', 'bille']"", ""['calculer']"", ""['math']"", ""['couleur']"", ""['dire']"", ""['classer']"", ""['faire', 'un', 'calcule']""]"
['boulier'],S64,0,[]
['boulier'],S65,0,[]
['boulier'],S67,0,[]
['calamar'],S7,6,"[""['fruit', 'de', 'mer']"", ""['manger']"", ""['odeur', 'de', 'mer']"", ""['salé']"", ""['poisson']"", ""['ocean']""]"
['calamar'],S12,8,"[""['mer']"", ""['pulpe']"", ""['medue']"", ""['poisson']"", ""['nouritture']"", ""['citron']"", ""['alghe']"", ""['soleil']""]"
['calamar'],S15,4,"[""['mer']"", ""['poisson']"", ""['corail']"", ""['vie', 'marine']""]"
['calamar'],S21,5,"[""['ocean']"", ""['profond']"", ""['nocturne']"", ""['geer']"", ""['tentacule']""]"
['calamar'],S22,0,[]
['calamar'],S23,0,[]
['calamar'],S30,7,"[""['frire']"", ""['mediteranne']"", ""['ocean']"", ""['grand']"", ""['petit']"", ""['rose']"", ""['brun']""]"
